# Generated by data_engine.py at 2026-05-09 05:26 UTC
Service,Country,Plan,Local Price,USD Price,Savings vs US (%)
Netflix,US (Baseline),Standard HD,$15.49,15.49,0.0
Netflix,Turkey,Standard HD,₺149.99,3.31,78.7
Netflix,Argentina,Standard HD,"ARS 1,199",0.86,94.4
Netflix,Nigeria,Standard HD,₦2900.00,2.13,86.2
Netflix,Egypt,Standard HD,EGP100.00,1.9,87.8
Netflix,Pakistan,Standard HD,PKR250.00,0.9,94.2
Netflix,Philippines,Standard HD,₱149.00,2.46,84.1
Netflix,India,Mobile,₹199.00,2.11,86.4
YouTube Premium,US (Baseline),Individual,$13.99,13.99,0.0
YouTube Premium,Turkey,Individual,₺47.99,1.06,92.4
YouTube Premium,Argentina,Individual,ARS 549,0.39,97.2
YouTube Premium,Nigeria,Individual,₦1490.00,1.1,92.2
YouTube Premium,Egypt,Individual,EGP39.99,0.76,94.6
YouTube Premium,Pakistan,Individual,PKR219.00,0.79,94.4
YouTube Premium,Philippines,Individual,₱99.00,1.63,88.3
YouTube Premium,India,Individual,₹89.00,0.94,93.3
Spotify,US (Baseline),Individual,$11.99,11.99,0.0
Spotify,Turkey,Individual,₺34.99,0.77,93.6
Spotify,Argentina,Individual,ARS 399,0.29,97.6
Spotify,Nigeria,Individual,₦900.00,0.66,94.5
Spotify,Egypt,Individual,EGP25.00,0.47,96.0
Spotify,Pakistan,Individual,PKR159.00,0.57,95.2
Spotify,Philippines,Individual,₱129.00,2.13,82.2
Spotify,India,Individual,₹119.00,1.26,89.5
